Feature,Importance
Rolling_Mean_4,0.5159017
Sales_Lag_1,0.3423972
Sales_Lag_4,0.028549561
Rolling_Mean_8,0.017767243
Sales_Lag_2,0.015482713
IsHoliday,0.009937755
Month,0.007658192
Week,0.0063195243
Type_B,0.005752557
Rolling_Std_8,0.005075223
Dept,0.0050389008
Sales_Lag_8,0.0049286694
MarkDown3,0.004739102
Rolling_Std_4,0.0046856306
Sales_Lag_12,0.0039545516
Year,0.00392311
Unemployment,0.0020583258
MarkDown2,0.0019949605
Size,0.0017102652
CPI,0.0016980701
Temperature,0.001610327
Quarter,0.0015059166
Fuel_Price,0.0014794304
Store,0.0014694337
MarkDown5,0.0013835414
MarkDown4,0.0013391724
MarkDown1,0.0011452296
Type_C,0.0004936512
