Store,Dept,SKU_ID,Total_Sales,Avg_Weekly_Demand,Demand_StdDev,Weeks_Observed,Store_Size,Forecasted_Weekly_Demand,Lead_Time_Weeks,Safety_Stock_Value,Reorder_Point_Value,Stock_Cover_Weeks,Current_Stock_Value,Stock_Status,Cumulative_Sales,Cumulative_Sales_Percentage,ABC_Class,Action_Recommendation
14,92,14_92,23758069.98,181359.31282442747,23260.60997858315,131,200898,160118.875,2,54277.52566629235,374515.27566629235,7,1269515.1897709924,Stock Sufficient,23758069.98,0.0038465110799887257,A,Stock Sufficient
20,92,20_92,21665113.02,165382.54213740458,20049.359398494864,131,203742,169743.125,3,57298.74007671278,566528.1150767128,5,826912.7106870229,Stock Sufficient,45423183.0,0.007354165420210431,A,Stock Sufficient
2,92,2_92,21626728.16,165089.5279389313,20310.399387328795,131,202307,165392.390625,2,47393.34974677806,378178.1309967781,1,165089.5279389313,Reorder Required,67049911.16,0.010855605123072362,A,Urgent Reorder - High Priority SKU
13,92,13_92,21358729.13,163043.7338167939,18692.483919892285,131,219622,168272.609375,2,43618.0210520219,380163.2398020219,4,652174.9352671755,Stock Sufficient,88408640.28999999,0.014313654885623946,A,Stock Sufficient
4,92,4_92,21014052.32,160412.613129771,19577.991048186446,131,205863,168240.671875,2,45684.30976620113,382165.6535162011,6,962475.678778626,Stock Sufficient,109422692.60999998,0.017715900318539486,A,Stock Sufficient
20,95,20_95,19739332.85,150681.93015267176,13143.536385819752,131,203742,152069.21875,4,43373.67007320518,651650.5450732051,1,150681.93015267176,Reorder Required,129162025.45999998,0.020911764401060823,A,Urgent Reorder - High Priority SKU
4,95,4_95,19496767.91,148830.28938931297,14740.040636489895,131,205863,156735.625,1,24321.067050208327,181056.69205020834,3,446490.8681679389,Stock Sufficient,148658793.36999997,0.02406835640760493,A,Stock Sufficient
27,92,27_92,19103305.64,145826.76061068702,12483.513730208637,131,204184,140736.671875,3,35676.43206221331,457886.4476872133,6,874960.5636641221,Stock Sufficient,167762099.01,0.027161245555188427,A,Stock Sufficient
2,95,2_95,18848731.38,143883.44564885495,10474.39517595691,131,202307,150626.6875,2,24441.502330564414,325694.8773305644,8,1151067.5651908396,Stock Sufficient,186610830.39,0.030212918277675336,A,Stock Sufficient
14,95,14_95,18787642.7,143417.11984732823,19953.644481676183,131,200898,112761.3671875,3,57025.19796340868,395309.29952590866,1,143417.11984732823,Reorder Required,205398473.08999997,0.03325470053832424,A,Urgent Reorder - High Priority SKU
